least_shaded ,middle_shaded,most_shaded,crop_protection_temp,crop_protection_eto,no_protect_eto,no_protect_temp
4.677188216,4.66291764,4.66291764,4.719588949,0.021634289,0.021634289,4.73
4.726749091,4.725665474,4.725665474,4.729968733,0.00164277,0.00164277,5.2
5.432852048,5.365402343,5.322736449,5.377425714,0.004684052,0.006369703,6.67
7.185185679,7.024477952,6.926822272,7.075363,0.020264293,0.024387906,8.65
9.210371621,8.989897829,8.870469357,9.14334429,0.061117898,0.066606872,10.86
11.53209203,11.21777518,11.06020324,11.50444761,0.116505336,0.124393064,12.7
13.30356925,12.95507192,12.79443573,13.34992365,0.161974462,0.170676386,14.11
14.60509925,14.24739798,14.09483386,14.72125667,0.195038282,0.203851471,15.04
15.39525277,15.04733878,14.91137563,15.58107307,0.218497978,0.226711226,15.51
15.73150805,15.40319008,15.28602038,15.97474369,0.231743919,0.239002168,15.45
15.39957072,15.14495339,15.07570922,15.72460539,0.228791999,0.233140141,14.47
14.09921173,13.97561562,13.97561562,14.46644048,0.187372534,0.187372534,12.72
12.43999705,12.34666273,12.34666273,12.717312,0.141495468,0.141495468,11.56
11.31296637,11.23062182,11.23062182,11.55762849,0.124834894,0.124834894,10.23
10.04796713,9.987289512,9.987289512,10.22825249,0.091987686,0.091987686,9.06
8.926305503,8.881740674,8.881740674,9.058716523,0.067560582,0.067560582,8.02
7.915840811,7.881121088,7.881121088,8.01900005,0.052635334,0.052635334,7.05
6.966564563,6.938752761,6.938752761,7.049198987,0.042162879,0.042162879,6.36
6.290772919,6.267697238,6.267697238,6.35933538,0.034982887,0.034982887,5.5
5.460176865,5.446902503,5.446902503,5.499617649,0.020124022,0.020124022,4.85
4.809854281,4.796472394,4.796472394,4.849614545,0.020287031,0.020287031,4.65
4.596928889,4.579238538,4.579238538,4.649490459,0.026818691,0.026818691,4.6
4.536669928,4.515559924,4.515559924,4.599391972,0.032002909,0.032002909,4.51
4.44293154,4.420575406,4.420575406,4.509356083,0.033892049,0.033892049,4.33
4.265730977,4.244307991,4.244307991,4.329382955,0.032477392,0.032477392,4.27
4.248405113,4.241206838,4.241206838,4.269792626,0.010912633,0.010912633,4.4
4.615475625,4.542318676,4.499660685,4.577260866,0.013361058,0.014953149,6.58
7.051394728,6.876215067,6.778617842,6.984944257,0.042306501,0.046334817,9.44
10.00377096,9.730797395,9.595775802,9.995907402,0.105072759,0.111362753,12.33
12.89923331,12.54614223,12.38750031,12.97336893,0.173286793,0.18164723,14.57
15.16067917,14.74472262,14.56591415,15.28214662,0.223834525,0.234194219,16.09
16.56267107,16.13751093,15.96772428,16.75709098,0.259469781,0.270008521,17
17.28253922,16.87866934,16.73372545,17.56518319,0.284252194,0.293668282,17.32
17.45374765,17.07186597,16.94784519,17.80249507,0.298494107,0.306695494,17.01
16.86675962,16.57218529,16.50044555,17.2898919,0.284237541,0.289020117,15.75
15.26592426,15.10456566,15.10456566,15.74535294,0.24462073,0.24462073,13.86
13.45199621,13.31599493,13.31599493,13.85608321,0.206178855,0.206178855,12.32
11.9803644,11.86715252,11.86715252,12.31673952,0.171629969,0.171629969,10.71
10.44529634,10.35706179,10.35706179,10.70745885,0.133764182,0.133764182,9.34
9.139564279,9.072752374,9.072752374,9.33807581,0.101287299,0.101287299,8.46
8.285023608,8.22669815,8.22669815,8.45832021,0.088421789,0.088421789,7.69
7.539448848,7.489265139,7.489265139,7.688554684,0.076078842,0.076078842,7
6.873501967,6.831335967,6.831335967,6.998785586,0.063923941,0.063923941,6.21
6.107926397,6.073901876,6.073901876,6.209020052,0.051581403,0.051581403,5.36
5.283717476,5.258289985,5.258289985,5.359267637,0.038548248,0.038548248,4.75
4.685494863,4.66399317,4.66399317,4.749380693,0.032596712,0.032596712,4.24
4.188187037,4.17091607,4.17091607,4.239502532,0.026182902,0.026182902,3.92
3.868865905,3.851821229,3.851821229,3.919509046,0.025839844,0.025839844,3.74
3.688405753,3.671207694,3.671207694,3.739504627,0.026072374,0.026072374,3.51
3.453679693,3.434906282,3.434906282,3.509459254,0.028460619,0.028460619,3.53
3.682326873,3.603719179,3.565640204,3.687885418,0.032100612,0.033425238,6.08
6.532870895,6.346631821,6.247585546,6.49102894,0.055735998,0.05965372,10.86
11.18843453,10.90856694,10.79470156,11.32602882,0.164093085,0.169684784,13.58
14.12648635,13.71201644,13.53787455,14.27932134,0.231501202,0.241007574,15.57
16.12625984,15.65954298,15.4694648,16.31919746,0.275844604,0.287146494,16.92
17.22439801,16.7888962,16.632634,17.52914026,0.306445684,0.316415086,17.71
17.83590281,17.42689814,17.29580594,18.21737201,0.323882801,0.332614582,17.96
18.05331119,17.64346072,17.51531987,18.45453771,0.332025165,0.340652794,17.57
17.3959879,17.08412882,17.01039256,17.8558154,0.30615258,0.311165226,16.37
15.85491944,15.6832259,15.6832259,16.3650553,0.26028857,0.26028857,14.13
13.7432029,13.61427052,13.61427052,14.12628679,0.195462362,0.195462362,14.03
13.58146197,13.43194928,13.43194928,14.02569408,0.226662249,0.226662249,12.84
12.44661647,12.31548861,12.31548861,12.83622355,0.198790713,0.198790712,11.79
11.44995093,11.33660124,11.33660124,11.78673555,0.171838903,0.171838903,9.78
9.542652327,9.463536437,9.463536437,9.77772146,0.119940224,0.119940224,7.97
7.819662417,7.769549897,7.769549897,7.968556737,0.075970919,0.075970919,6.93
6.825671445,6.790895272,6.790895272,6.928998412,0.052720914,0.052720914,6.33
6.253108647,6.227478209,6.227478209,6.329261803,0.038855916,0.038855916,6.07
6.007523493,5.986698006,5.986698006,6.069400182,0.03157158,0.03157158,6.38
6.31515756,6.293543426,6.293543426,6.379377473,0.032767172,0.032767172,7.07
6.992066902,6.966089214,6.966089214,7.06925181,0.039382351,0.039382351,6.65
6.58390375,6.561871679,6.561871679,6.649365439,0.033400768,0.033400768,5.99
5.935221736,5.916962329,5.916962329,5.989474085,0.027681384,0.027681384,4.81
4.778542297,4.768056415,4.768056415,4.809697949,0.015896668,0.015896668,4.65
4.831101323,4.76201349,4.72393231,4.808159928,0.017651299,0.019091333,6.98
7.458483517,7.290602289,7.194469488,7.378750633,0.034611509,0.038703754,9.91
10.42479007,10.18205903,10.0606985,10.40912437,0.090582591,0.096474589,12.4
12.93290822,12.61045872,12.46429688,12.99299027,0.155397662,0.163239365,13.89
14.37764348,14.03471995,13.88716152,14.48244817,0.183934403,0.192413964,14.94
15.27532786,14.93765345,14.8066039,15.46213727,0.214095109,0.221995352,15.63
15.88002268,15.53870816,15.41498801,16.12000998,0.236637349,0.244317962,15.76
15.93126087,15.6018194,15.48924506,16.20549143,0.243999323,0.251038482,15.44
15.41725933,15.15012124,15.07454132,15.73987747,0.233380311,0.238104164,14.34
13.97074956,13.84766606,13.84766606,14.33645524,0.186595411,0.186595411,12.67
12.39933501,12.30911334,12.30911334,12.66740165,0.136776665,0.136776665,11.13
10.95462026,10.89616034,10.89616034,11.12831637,0.088625631,0.088625631,9.89
9.781413139,9.745217518,9.745217518,9.888957565,0.054872805,0.054872805,8.82
8.742627151,8.716836206,8.716836206,8.819257208,0.039099247,0.039099247,8.68
8.590386738,8.560515655,8.560515655,8.679139698,0.045284763,0.045284763,8.84
8.741289584,8.708386116,8.708386116,8.839052367,0.049881879,0.049881879,8.98
8.878366642,8.84448886,8.84448886,8.979024309,0.051358946,0.051358946,8.8
8.71084896,8.681131951,8.681131951,8.799144137,0.045051186,0.045051186,8.8
8.710842604,8.681123477,8.681123477,8.799144076,0.045054398,0.045054398,7.99
7.91425684,7.889009128,7.889009128,7.989272844,0.038275703,0.038275703,6.79
6.743135334,6.727513791,6.727513791,6.789550064,0.023682365,0.023682365,7.76
7.696075136,7.674766857,7.674766857,7.759386297,0.032303496,0.032303496,7.9
7.834883811,7.813178422,7.813178422,7.899374862,0.032905516,0.032905516,6.4
6.354383139,6.339177532,6.339177532,6.399562039,0.023051803,0.023051803,6.19
6.379198667,6.302270608,6.261134143,6.360746822,0.022533496,0.024237739,8.07
8.964434549,8.677555825,8.505884951,8.779257249,0.042202664,0.049836221,10.91
11.74809511,11.37141554,11.17940212,11.69362414,0.132262338,0.141721723,11.97
12.48471629,12.13090626,11.97736448,12.59411105,0.185837859,0.193711023,12.69
14.60623422,13.83419645,13.42138434,14.32137709,0.226063045,0.246024642,13.56
13.94209051,13.57096866,13.42551361,14.14521072,0.231184934,0.239185814,14.36
14.6108148,14.2528438,14.12410966,14.87512056,0.249726192,0.257108576,14.86
14.73235679,14.4694819,14.4053311,15.11513253,0.252659024,0.256525223,15.08
14.89866938,14.64457415,14.58821271,15.30334906,0.257102447,0.260548802,14.4
13.94344038,13.79125383,13.79125383,14.39561708,0.230715846,0.230715846,12.7
12.32241623,12.19655496,12.19655496,12.69637523,0.190806532,0.190806532,12.06
11.62982081,11.48642774,11.48642774,12.0558703,0.217384865,0.217384865,11.27
10.8186097,10.66814626,10.66814626,11.26566667,0.228103588,0.228103588,10.59
10.12071359,9.96428479,9.96428479,10.58549486,0.237147123,0.237147123,10.13
9.646652443,9.485536591,9.485536591,10.12535986,0.244252721,0.244252721,9.72
9.235446456,9.073928609,9.073928609,9.715348283,0.244862147,0.244862147,9.28
8.803903577,8.645204772,8.645204772,9.275429466,0.24058846,0.24058846,8.92
8.4548041,8.299738803,8.299738803,8.915534108,0.235080036,0.235080036,8.63
8.173726996,8.021636,8.021636,8.625619764,0.230570977,0.230570977,8.58
8.124472336,7.972629787,7.972629787,8.575626919,0.23019433,0.23019433,8.34
7.894841613,7.74645549,7.74645549,8.335726461,0.224954365,0.224954365,8.23
7.79024077,7.643654367,7.643654367,8.225778292,0.222225977,0.222225977,7.96
7.535081465,7.393441961,7.393441961,7.95592076,0.214726445,0.214726445,7.49
7.082223866,6.946298498,6.946298498,7.486085322,0.206063777,0.206063777,7.34
7.154661254,6.968475771,6.932048653,7.488378339,0.198824969,0.200258414,8.56
8.713213142,8.42574119,8.326652018,8.96811751,0.208992563,0.213071882,10.66
10.88094242,10.52363736,10.39772554,11.17504435,0.253735626,0.259468112,12.52
12.87342585,12.44289784,12.28289456,13.16754113,0.287387858,0.295344571,13.94
14.27568834,13.82791737,13.66477153,14.59350667,0.307090532,0.31583994,14.86
15.07738402,14.64628214,14.49961873,15.44352487,0.319927457,0.328224878,15.37
15.51629779,15.09226711,14.95463945,15.91529327,0.330072417,0.338077433,15.44
15.46073,15.06613873,14.9493084,15.90282487,0.332748549,0.339610471,15.25
15.05404775,14.72440184,14.64751719,15.55447702,0.324986056,0.32953492,14.42
13.84785183,13.65713576,13.65713576,14.41450743,0.289126852,0.289126852,13.09
12.58704297,12.41939061,12.41939061,13.08517165,0.254162103,0.254162103,11.62
11.1848317,11.0397756,11.0397756,11.6158224,0.219906036,0.219906036,10.53
10.16734653,10.04646204,10.04646204,10.52651853,0.183261707,0.183261707,9.38
9.079822863,8.97976382,8.97976382,9.377118293,0.151690185,0.151690185,7.95
7.737915563,7.667220758,7.667220758,7.947963967,0.107173802,0.107173802,6.87
