time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190622:1400,32.9,23.15,888,759.03,209,377.8,2.14,274,99435
20190622:1500,33.21,22.85,773,754.15,179,380.6,2.28,274,99386
20190622:1600,33.17,23.45,602,671.44,170,380.6,2.69,274,99366
20190622:1700,32.52,25.6,424,636.05,124,381.4,3.24,272,99327
20190622:1800,31,30.15,226,489.2,87,378,3.93,271,99376
20190622:1900,28.19,37.7,55,267.07,30,370.2,4,264,99415
20190622:2000,25.79,43.75,0,0,0,363,3.59,257,99464
20190622:2100,24.07,48.4,0,0,0,355.2,2.83,242,99553
20190622:2200,22.95,52,0,0,0,351,2.48,228,99582
20190622:2300,22.07,55.95,0,0,0,346.8,2.14,220,99592
20190623:0000,21.36,59.7,0,0,0,343.4,1.59,227,99582
20190623:0100,20.54,63.7,0,0,0,341.25,1.17,243,99563
20190623:0200,20.3,64.8,0,0,0,338.6,0.69,246,99523
20190623:0300,20.27,65,0,0,0,336.4,0.48,182,99513
20190623:0400,19.11,71.1,0,0,0,333.8,0.97,151,99523
20190623:0500,18.74,74.3,0,0,0,331.8,0.9,147,99513
20190623:0600,19.48,71.7,134,348.57,66,331.4,0.21,170,99533
20190623:0700,21.49,63.45,321,541.95,112,336.4,0.21,312,99543
20190623:0800,23.75,51.9,514,653.4,144,343.8,1.1,314,99553
20190623:0900,25.63,45.5,694,738.29,159,353.8,1.66,312,99563
20190623:1000,27.33,40.15,848,815.3,155,364.6,1.86,309,99543
20190623:1100,28.81,36.95,921,765.71,206,374.6,1.79,301,99513
20190623:1200,30.05,34.65,979,822.46,181,382.4,1.72,291,99454
20190623:1300,31.16,32.75,953,787.9,199,388.8,1.93,284,99425
20190623:1400,31.98,31.55,891,799.04,176,394.25,2.07,278,99356
20190623:1500,32.46,31.2,775,791.84,151,397.05,2.48,277,99317
20190623:1600,32.52,31.6,586,638.3,175,397.65,2.76,272,99297
20190623:1700,32.07,33,398,535.75,145,396.05,3.17,267,99238
20190623:1800,30.9,36.15,181,228.29,116,392.25,3.79,267,99317
20190623:1900,27.68,46.15,40,84.95,32,386.8,3.79,264,99337
20190623:2000,25.76,50.55,0,0,0,381.6,3.24,255,99405
20190623:2100,24.27,53.7,0,0,0,375.2,2.9,243,99484
20190623:2200,23.15,56.4,0,0,0,373,2.76,235,99553
20190623:2300,22.23,59.6,0,0,0,368.2,2.69,227,99592
20190624:0000,21.44,63.25,0,0,0,358,2.34,214,99592
20190624:0100,20.94,66.2,0,0,0,354.65,2.21,203,99563
20190624:0200,20.5,68.55,0,0,0,347.2,2,197,99523
20190624:0300,20.15,70.25,0,0,0,344.2,1.86,189,99513
20190624:0400,19.78,72.2,0,0,0,341.6,1.79,195,99513
20190624:0500,19.34,74.55,0,0,0,339.6,1.79,202,99494
20190624:0600,19.46,74.55,113,185.32,77,338.6,1.59,209,99572
20190624:0700,20.91,67.8,260,249.45,164,344.2,1.66,213,99582
20190624:0800,22.8,57.15,495,565.82,175,349.8,1.93,213,99612
20190624:0900,24.71,47.9,695,731.99,165,356,2.14,225,99621
20190624:1000,26.57,41.7,862,853.39,137,356.6,2.34,235,99621
20190624:1100,28.07,38.4,942,818.44,178,363.8,2.55,242,99592
20190624:1200,29.1,36.5,1002,878.21,150,371.8,2.62,246,99582
20190624:1300,30.18,33.6,986,873.53,150,381.8,2.76,245,99543
20190624:1400,30.81,32.55,907,837.95,157,384.8,3.17,251,99523
20190624:1500,31.08,32.3,781,800.36,150,380.4,3.59,252,99513
20190624:1600,30.71,33.9,578,597.5,193,380.6,3.93,254,99523
20190624:1700,29.65,37.2,407,562.67,141,379.8,4.07,255,99504
20190624:1800,28.15,42,198,308.5,110,374.6,4,255,99543
20190624:1900,26.3,49.25,30,21.13,28,370.4,3.1,250,99563
20190624:2000,24.64,55.7,0,0,0,363.4,2.83,240,99592
20190624:2100,23.26,61.7,0,0,0,358.2,2.55,232,99661
20190624:2200,22.1,67,0,0,0,350.6,2.28,224,99690
20190624:2300,21.23,71.05,0,0,0,346.6,2.07,210,99720
20190625:0000,20.54,74.1,0,0,0,344.2,2.07,200,99739
20190625:0100,20,76.4,0,0,0,342.25,2.07,198,99730
20190625:0200,19.53,78.2,0,0,0,341.2,1.86,196,99671
20190625:0300,19.11,79.75,0,0,0,339,1.79,189,99651
20190625:0400,18.78,80.75,0,0,0,338.2,1.72,182,99651
20190625:0500,18.47,81.7,0,0,0,337.6,1.59,180,99671
20190625:0600,18.76,80,136,372.34,64,338.4,1.24,181,99710
20190625:0700,20.92,66.95,324,557.28,110,343.8,0.69,212,99759
20190625:0800,23.09,56.15,515,658.65,143,349.2,0.76,242,99769
20190625:0900,25.17,50.05,697,743.69,159,357.6,0.97,260,99779
20190625:1000,27.2,44.85,847,805.59,163,366.6,1.38,263,99769
20190625:1100,29,39.7,920,756.56,214,374.2,1.72,260,99720
20190625:1200,30.51,34.6,978,812.36,190,382.2,1.93,256,99671
20190625:1300,31.73,30.95,952,777.37,208,387.6,2.28,255,99602
20190625:1400,32.58,28.8,896,805.37,175,391.2,2.62,252,99563
20190625:1500,32.97,27.95,763,739.18,180,393.85,3.03,252,99543
20190625:1600,32.77,28.6,607,710.34,149,393.6,3.45,254,99523
20190625:1700,31.85,30.95,420,631.87,121,391.05,3.86,258,99504
20190625:1800,30.15,35.25,224,483,86,385.6,4,261,99543
20190625:1900,27.52,37.45,50,178.8,33,371.4,3.52,258,99572
20190625:2000,25.41,43.25,0,0,0,363.6,3.1,252,99631
20190625:2100,23.81,48.75,0,0,0,357.2,2.62,240,99710
20190625:2200,22.66,53.6,0,0,0,352.4,2.34,223,99769
20190625:2300,21.8,57.7,0,0,0,349.2,2.21,212,99788
20190626:0000,21.13,61.4,0,0,0,346.6,2,209,99818
20190626:0100,20.57,64.85,0,0,0,344.85,2,204,99788
20190626:0200,20.11,68.05,0,0,0,342.8,1.86,204,99788
20190626:0300,19.68,71.15,0,0,0,341.8,1.72,204,99779
20190626:0400,19.25,74.35,0,0,0,340.8,1.59,206,99798
20190626:0500,18.84,77.65,0,0,0,339.6,1.59,209,99808
20190626:0600,19.02,78.8,133,358.59,64,338.8,1.45,209,99867
20190626:0700,20.54,75.5,322,566.42,105,343.8,1.31,217,99906
20190626:0800,22.42,65.4,514,672,135,352.4,1.03,229,99936
20190626:0900,24.41,55.75,689,733.31,159,361.8,1.03,244,99946
20190626:1000,26.29,48.7,842,809.61,155,368.2,1.38,252,99926
20190626:1100,27.96,43.7,931,806.14,179,382.2,1.79,255,99916
20190626:1200,29.47,39.7,991,865.08,152,391.2,2.21,253,99867
20190626:1300,30.59,37,959,813.93,180,395.05,2.62,254,99788
20190626:1400,31.3,35.5,897,825.34,158,403.25,3.31,262,99730
20190626:1500,31.39,35.35,769,773.14,159,398.85,3.72,260,99671
20190626:1600,30.83,36.95,611,739.4,134,399.65,3.93,260,99641
20190626:1700,29.77,39.85,423,654.57,113,396.25,4.21,264,99631
20190626:1800,28.19,44.2,224,485.84,85,392,4.21,268,99671
20190626:1900,26.24,50.7,51,188.66,33,383.6,3.86,266,99720
20190626:2000,24.46,57.45,0,0,0,376.4,3.1,261,99769
20190626:2100,23.19,63.45,0,0,0,370,2.48,247,99857
20190626:2200,22.34,67.95,0,0,0,365.6,2,230,99906
20190626:2300,21.73,71.2,0,0,0,364,1.72,228,99906
20190627:0000,21.17,74,0,0,0,363.6,1.72,237,99897
20190627:0100,20.62,76.55,0,0,0,361.45,1.59,239,99838
20190627:0200,20.18,78.7,0,0,0,358.8,1.31,234,99788
20190627:0300,19.81,80.45,0,0,0,355.4,1.17,220,99798
20190627:0400,19.4,82.6,0,0,0,352.6,1.03,199,99808
20190627:0500,18.97,85.55,0,0,0,350,0.83,182,99808
20190627:0600,19.25,85.25,126,303.02,68,348.6,0.76,178,99847
20190627:0700,21.3,68.95,312,512.88,116,354.6,0.83,146,99857
20190627:0800,23.63,56.55,508,646.37,144,360.8,0.41,164,99867
20190627:0900,25.8,49.85,684,718.8,165,370.4,0.55,262,99857
20190627:1000,27.82,44.7,792,654.48,237,378.2,1.17,251,99847
20190627:1100,29.55,41,779,426.82,381,385.6,2,254,99847
20190627:1200,30.74,38.6,905,633.21,291,391.8,2.48,255,99808
20190627:1300,31.91,36.2,761,353.17,423,398.25,2.62,252,99749
20190627:1400,32.54,34.9,767,473.47,343,404.65,3.1,267,99720
20190627:1500,32.65,34.7,743,688.02,200,403.25,3.45,275,99671
20190627:1600,32.21,35.4,595,672.42,161,402.65,3.66,279,99671
20190627:1700,31.34,36.85,409,584.47,132,398.25,3.72,280,99631
20190627:1800,30.12,39,216,425.95,94,392.45,3.52,277,99661
20190627:1900,27.89,40.6,48,156.79,33,379.6,2.97,268,99720
20190627:2000,26.21,44.4,0,0,0,373.8,2.41,250,99739
20190627:2100,24.8,47.85,0,0,0,368.2,2.28,236,99818
20190627:2200,23.69,51,0,0,0,364,1.93,225,99857
20190627:2300,22.96,53.3,0,0,0,361.2,1.52,206,99867
20190628:0000,22.39,55.45,0,0,0,357.8,1.38,180,99828
20190628:0100,21.78,58.05,0,0,0,355.45,1.24,169,99808
20190628:0200,21.04,61.75,0,0,0,352.4,1.1,169,99749
20190628:0300,20.63,64.2,0,0,0,349.8,1.03,168,99680
20190628:0400,20.21,66.8,0,0,0,348.8,1.1,162,99680
20190628:0500,20.02,69.05,0,0,0,349,1.03,146,99671
20190628:0600,20.4,70.2,127,315.24,67,349.8,0.76,128,99680
20190628:0700,22.66,60.55,316,532.59,113,352,0.07,273,99690
20190628:0800,25.09,50.8,508,642.06,147,358.6,0.55,308,99700
20190628:0900,27.29,44.7,692,740.34,158,367.2,0.83,314,99661
20190628:1000,29.36,40.15,838,785.91,172,375.8,0.9,291,99651
20190628:1100,31.22,36.25,921,768.18,205,386,1.1,258,99612
20190628:1200,32.88,32.75,970,793.24,201,393.85,1.38,242,99543
20190628:1300,34.31,29.75,934,730.41,235,399.85,1.52,242,99494
20190628:1400,35.4,27.35,889,787.18,184,404.25,1.45,245,99445
20190628:1500,36.06,25.75,758,723.32,187,406.05,1.31,244,99366
20190628:1600,36.38,24.65,607,707.78,150,405.45,1.24,239,99346
20190628:1700,36.3,24.15,418,615.77,126,402.45,1.38,226,99307
20190628:1800,35.59,25.15,219,436.05,94,397.05,1.79,229,99346
20190628:1900,32.36,36.65,47,146.07,33,393.25,3.31,259,99405
20190628:2000,29.65,43.95,0,0,0,383.6,3.24,253,99464
20190628:2100,27.54,50.75,0,0,0,374,2.9,242,99572
20190628:2200,26.07,56.05,0,0,0,367.2,2.28,235,99661
20190628:2300,25.02,60.3,0,0,0,361.2,1.86,231,99671
20190629:0000,24.13,64.25,0,0,0,356.6,1.45,230,99671
20190629:0100,23.25,68.85,0,0,0,352.25,0.83,224,99641
20190629:0200,23.27,68.85,0,0,0,348.4,0.48,214,99631
20190629:0300,22.81,71.05,0,0,0,345.8,0.48,219,99612
20190629:0400,22.4,73.1,0,0,0,344.4,0.48,234,99602
20190629:0500,22.16,74.1,0,0,0,343,0.34,198,99582
20190629:0600,22.11,73.95,126,317.13,66,342.8,0.41,134,99602
20190629:0700,23.55,64.95,314,523.55,115,347.2,0.07,38,99641
20190629:0800,25.9,55.1,511,655.59,143,357.2,0.83,328,99651
20190629:0900,28.07,47.6,701,770.29,146,365.6,1.24,334,99651
20190629:1000,30.11,41.45,857,850.24,137,376,1.31,334,99621
20190629:1100,31.99,36.65,943,830.79,169,386,1.1,314,99592
20190629:1200,33.63,32.95,993,858.45,161,396.05,1.38,276,99553
20190629:1300,34.9,30.2,957,792.13,199,403.05,2.14,260,99523
20190629:1400,35.71,28.4,901,819.52,167,406.65,2.62,254,99474
20190629:1500,36.11,27.35,768,753.59,173,406.85,2.9,253,99425
20190629:1600,36.04,26.95,608,710.65,149,405.65,3.24,253,99405
20190629:1700,35.24,28.5,417,607.06,129,401.85,3.79,255,99405
20190629:1800,33.27,34.6,221,446.24,93,396.25,4.28,259,99464
20190629:1900,30.04,43.8,49,156.35,34,385.4,4.14,258,99523
20190629:2000,27.58,50.95,0,0,0,374.8,3.38,249,99582
20190629:2100,25.86,56.5,0,0,0,366,2.9,239,99671
20190629:2200,24.61,61.1,0,0,0,359.4,2.55,230,99720
20190629:2300,23.65,65.2,0,0,0,354.4,2.21,222,99769
20190630:0000,22.96,68.55,0,0,0,354,1.79,213,99759
20190630:0100,22.38,71.65,0,0,0,350.65,1.66,218,99798
20190630:0200,21.76,75,0,0,0,351.2,1.93,229,99788
20190630:0300,21.16,78.85,0,0,0,352.6,1.79,227,99788
20190630:0400,20.71,81.7,0,0,0,351.6,1.45,217,99828
20190630:0500,20.33,83.75,0,0,0,351,1.24,212,99788
20190630:0600,20.55,82.8,122,287.23,68,350,1.17,221,99828
20190630:0700,22.46,73.55,305,485.49,121,354,0.62,118,99867
20190630:0800,24.74,61.45,498,612.12,155,361.6,0.48,237,99916
20190630:0900,26.77,53.9,680,707.24,171,369.6,1.38,257,99946
20190630:1000,28.5,48.9,824,752.79,187,378.4,2.14,258,100005
20190630:1100,29.88,45.5,916,763.54,205,385.6,2.48,255,99985
20190630:1200,31.13,42.75,976,820.51,181,393.65,2.62,251,99936
20190630:1300,32.14,40.6,935,741.02,226,399.45,2.83,248,99897
20190630:1400,32.8,39,885,782.67,184,403.45,3.1,248,99867
20190630:1500,33.1,38.05,751,705.37,194,404.65,3.24,248,99847
20190630:1600,31.01,47.13,601,690.36,155,404.57,3.99,248,99818
20190630:1700,29.97,47.36,414,600.55,129,396.96,3.81,248,99788
20190630:1800,28.92,47.58,214,407.74,97,389.35,3.63,249,99788
20190630:1900,27.88,47.81,47,135.49,34,381.74,3.45,249,99847
20190630:2000,26.84,48.03,0,0,0,374.13,3.27,238,99887
20190630:2100,25.8,48.25,0,0,0,366.52,3.1,224,99975
20190630:2200,24.75,48.48,0,0,0,358.91,2.92,215,100044
20190630:2300,23.71,48.7,0,0,0,351.3,2.74,211,100054
20120701:0000,22.67,48.92,0,0,0,343.69,2.56,277,99975
20120701:0100,21.63,49.15,0,0,0,336.08,2.38,304,99956
20120701:0200,20.58,49.37,0,0,0,328.47,2.21,316,99946
20120701:0300,19.54,49.6,0,0,0,320.86,2.03,318,99965
20120701:0400,18.5,49.82,0,0,0,313.26,1.85,319,99995
20120701:0500,17.46,50.04,0,0,0,305.65,1.67,323,100005
20120701:0600,16.41,50.27,133,399.04,59,298.04,1.49,329,100014
20120701:0700,15.37,50.49,326,602.68,99,290.43,1.32,348,100034
20120701:0800,20.69,40.65,528,732.6,119,307.4,1.72,359,100064
20120701:0900,22.59,35.95,705,778.59,146,313.4,1.93,359,100073
20120701:1000,24.55,30.3,857,840.42,147,320.2,2.28,358,100034
20120701:1100,26.33,24.95,959,867.57,152,325.6,2.41,358,99995
20120701:1200,27.87,20.85,1005,879.92,153,330.2,2.34,357,99946
20120701:1300,29.12,18,991,876.15,153,334.2,2.34,352,99887
20120701:1400,30.08,16,918,857.57,150,337,2.34,348,99828
20120701:1500,30.69,14.75,805,868.66,119,339.4,2.34,346,99759
20120701:1600,30.97,14,632,790.81,121,341.6,2.28,346,99710
20120701:1700,30.85,13.6,432,669.93,114,347.2,2.21,352,99631
20120701:1800,30.38,13.9,172,174.26,122,345.8,1.79,357,99631
20120701:1900,29.59,15.65,55,240.28,32,337.2,1.1,333,99631
20120701:2000,27.93,18.45,0,0,0,331.4,1.17,260,99661
20120701:2100,25.19,25,0,0,0,326.8,1.52,232,99720
20120701:2200,23.09,32.2,0,0,0,323.6,1.45,225,99788
20120701:2300,22.55,34.8,0,0,0,320.8,1.1,205,99798
20120702:0000,23.13,33.4,0,0,0,318.8,0.9,164,99779
20120702:0100,23.23,31.95,0,0,0,317.25,0.97,112,99739
20120702:0200,20.57,36.15,0,0,0,316.2,1.59,78,99680
20120702:0300,18.79,38.2,0,0,0,315.2,2.14,73,99671
20120702:0400,18.22,37.55,0,0,0,314.4,2.21,78,99661
20120702:0500,17.55,39.3,0,0,0,313.4,2.14,84,99661
20120702:0600,17.57,44.2,136,445.45,54,312,1.86,85,99680
20120702:0700,21.12,40.05,328,623.32,94,313.4,1.31,89,99700
20120702:0800,25.5,30.65,527,732.24,119,320.4,1.17,77,99730
20120702:0900,28.56,23.85,707,792.13,139,330.8,1.1,81,99739
20120702:1000,30.75,19.35,861,856.55,138,340.2,0.76,105,99730
20120702:1100,32.36,16.1,959,868.07,152,348.4,0.83,144,99690
20120702:1200,33.53,14.35,1032,963.94,99,354.6,0.97,170,99661
20120702:1300,34.24,13.75,1017,960.02,99,359.4,1.03,181,99612
20120702:1400,34.6,13.6,918,857.67,150,363.4,1.17,187,99563
20120702:1500,34.72,13.75,797,837.04,136,365.8,1.24,192,99533
20120702:1600,34.63,14.05,629,776.91,127,364.2,1.1,202,99504
20120702:1700,34.25,14.45,432,670,114,363,0.97,212,99484
20120702:1800,33.62,15.1,230,502.08,86,357.8,1.1,210,99513
20120702:1900,32.03,18.55,53,219.93,32,353.2,1.79,224,99543
20120702:2000,29.25,23.75,0,0,0,346.2,2.28,224,99602
20120702:2100,27,29.5,0,0,0,339.2,2.14,230,99690
20120702:2200,25.2,34.4,0,0,0,332.6,1.72,228,99769
20120702:2300,23.37,40.1,0,0,0,328.6,1.31,210,99779
20120703:0000,22.48,42.65,0,0,0,324.8,0.9,178,99759
20120703:0100,22.18,43.05,0,0,0,322.85,0.76,146,99739
20120703:0200,21.7,44.3,0,0,0,323.6,0.69,125,99730
20120703:0300,20.48,48.1,0,0,0,326,0.97,116,99730
20120703:0400,19.01,52.55,0,0,0,322,1.31,115,99730
20120703:0500,17.96,56.25,0,0,0,320,1.66,111,99730
20120703:0600,18.08,59.45,130,388.68,59,318.2,1.45,109,99769
20120703:0700,22.06,43.55,325,612.1,96,320.8,0.9,117,99788
20120703:0800,25.97,31,526,730.13,120,328.6,0.21,47,99828
20120703:0900,28.3,25.75,710,807.15,132,339.6,0.55,324,99828
20120703:1000,30.36,22.45,865,871.54,130,348.4,0.9,302,99828
20120703:1100,32.12,19.85,968,900.89,131,357.8,1.24,283,99798
20120703:1200,33.55,17.95,1046,1010.85,68,365.2,1.59,271,99759
20120703:1300,34.63,16.55,996,892.28,143,371,2.07,268,99690
20120703:1400,35.38,15.6,938,922.59,112,374.6,2.48,271,99621
20120703:1500,35.74,15,793,820.67,145,377,2.9,275,99553
20120703:1600,35.7,14.95,622,747.59,139,378,3.24,278,99504
20120703:1700,35.15,15.5,421,609.04,132,377.8,3.52,279,99484
20120703:1800,34.01,17,225,467.53,91,375.4,3.59,273,99474
20120703:1900,32.08,19.9,49,168.13,33,369.8,4.07,257,99494
20120703:2000,29.29,24.5,0,0,0,363.8,3.79,252,99572
20120703:2100,27.17,29.55,0,0,0,360.8,3.38,240,99661
20120703:2200,25.72,34.95,0,0,0,357.6,2.97,224,99710
20120703:2300,24.69,40.3,0,0,0,352,2.69,211,99671
20120704:0000,23.84,45.1,0,0,0,344.6,2.41,204,99671
20120704:0100,23.12,49.35,0,0,0,341.25,2.28,203,99621
20120704:0200,22.54,52.6,0,0,0,340.2,2.21,201,99592
20120704:0300,22.05,54.85,0,0,0,340.2,2.21,198,99563
20120704:0400,21.59,56.8,0,0,0,340,2,195,99543
20120704:0500,21.1,59.1,0,0,0,338.8,1.86,194,99533
20120704:0600,21.01,61.3,129,386.3,59,338,1.59,199,99553
20120704:0700,23.48,54.05,322,598.19,99,343.2,1.45,227,99582
20120704:0800,25.42,49.05,524,729.86,119,348.6,1.59,248,99602
20120704:0900,27.34,43.1,709,806.85,132,355.6,1.45,257,99592
20120704:1000,29.34,36.9,859,855.74,138,363.6,1.79,264,99553
20120704:1100,31.21,30.25,957,868.08,151,371.8,2.34,269,99533
20120704:1200,32.71,24.75,1009,895.48,143,377.4,2.83,269,99484
20120704:1300,33.82,20.7,995,892.55,142,380.8,3.31,267,99425
20120704:1400,34.58,17.95,923,873.63,141,381,3.66,266,99337
20120704:1500,34.97,16.65,797,837.28,136,380,4.07,264,99278
20120704:1600,34.79,16.95,629,777.15,127,378.8,4.48,263,99248
20120704:1700,33.99,19.2,432,670.41,114,377,4.76,259,99228
20120704:1800,32.55,23.85,230,502.9,86,375.4,4.76,251,99238
20120704:1900,30.23,31.8,51,200.52,32,369.8,4,233,99258
20120704:2000,28.06,38.5,0,0,0,364.8,3.59,222,99268
20120704:2100,26.6,43.25,0,0,0,360.8,3.31,213,99327
20120704:2200,25.61,46.5,0,0,0,358.4,2.9,210,99386
20120704:2300,24.91,48.85,0,0,0,356.6,2.48,214,99396
20120705:0000,24.24,51,0,0,0,354.4,2.28,218,99376
20120705:0100,23.55,53.35,0,0,0,352.45,2.07,220,99356
20120705:0200,22.84,55.85,0,0,0,349.4,1.93,223,99327
20120705:0300,22.16,58.15,0,0,0,346.4,1.86,231,99317
20120705:0400,21.51,60.05,0,0,0,343,1.86,243,99337
20120705:0500,20.86,61.7,0,0,0,339.8,1.86,251,99366
20120705:0600,20.7,62.1,128,395.13,57,336.4,1.72,254,99386
20120705:0700,21.89,56.1,324,619.25,94,336,2.14,280,99445
20120705:0800,23.02,51.35,531,771.18,104,337.2,2.21,283,99454
20120705:0900,24.46,45.7,715,837.4,117,341,2.41,276,99494
20120705:1000,26.04,39.1,858,855.38,138,345,2.69,267,99494
20120705:1100,27.65,32.05,967,899.92,132,349,3.1,260,99484
20120705:1200,29.07,26.05,1014,912.46,132,350.8,3.59,259,99454
20120705:1300,30.11,22.1,995,892.85,142,351.4,3.93,261,99454
20120705:1400,30.78,19.5,922,873.86,140,351.4,4.14,263,99425
20120705:1500,31.12,18,797,836.2,137,350.4,4.14,264,99386
20120705:1600,31.13,17.4,632,791.32,121,349.2,4.14,262,99366
20120705:1700,30.64,18.1,434,683.41,110,347.4,4.21,258,99337
20120705:1800,29.55,20.65,232,521,83,344,4.14,249,99337
20120705:1900,27.55,28.5,55,254.62,31,341.2,3.72,234,99346
20120705:2000,24.98,37.75,0,0,0,334.4,3.52,221,99376
20120705:2100,23.09,45.6,0,0,0,327.4,3.24,208,99445
20120705:2200,21.91,49.2,0,0,0,322.6,2.83,195,99513
20120705:2300,21.15,51.1,0,0,0,319.8,2.48,189,99513
20120706:0000,20.51,52.75,0,0,0,317.8,2.14,185,99523
20120706:0100,19.95,54.35,0,0,0,316.25,1.79,183,99494
20120706:0200,19.12,57.45,0,0,0,314,1.45,182,99484
20120706:0300,18.62,59.5,0,0,0,312.8,1.17,181,99494
20120706:0400,18.89,58.15,0,0,0,311,0.97,186,99494
20120706:0500,19.56,55.3,0,0,0,310.4,0.76,194,99504
20120706:0600,19.58,55.05,128,404.22,56,310,0.28,193,99494
20120706:0700,20.77,56.65,319,597.3,98,314.6,0.48,25,99533
20120706:0800,23.55,40.85,524,742.13,114,321,1.31,27,99553
20120706:0900,25.71,34.5,703,790.94,139,329.4,1.31,29,99543
20120706:1000,27.73,28.9,848,822.93,156,337.4,1.03,2,99523
20120706:1100,29.4,24.25,945,834.76,171,345.4,1.38,323,99513
20120706:1200,30.74,21.55,992,846.68,174,350.6,1.66,307,99474
20120706:1300,31.8,19.65,984,859.67,163,355.6,1.79,295,99454
20120706:1400,32.58,18.2,902,810.41,177,359.8,2,287,99386
20120706:1500,33.05,17.4,792,821.25,144,362.6,2.14,285,99366
20120706:1600,33.15,17.2,629,777.69,127,363.6,2.21,284,99327
20120706:1700,32.85,17.75,434,683.87,110,363.4,2.21,282,99268
20120706:1800,32.09,19.55,236,553.31,78,361.8,2.34,273,99268
20120706:1900,30.09,27.25,56,266.88,31,358.4,2.69,249,99317
20120706:2000,27.48,34.75,0,0,0,352,2.69,235,99297
20120706:2100,25.51,41.5,0,0,0,344.2,2.41,220,99396
20120706:2200,24.18,45.7,0,0,0,338.8,2.14,198,99454
20120706:2300,23.2,48.45,0,0,0,335.2,2.14,179,99445
20120707:0000,22.43,50.4,0,0,0,332.6,2.07,173,99425
20120707:0100,21.75,52.1,0,0,0,330.45,1.93,176,99415
20120707:0200,21.07,53.65,0,0,0,328.4,1.79,180,99396
20120707:0300,20.19,56.5,0,0,0,326.4,1.52,183,99396
20120707:0400,20.36,55.35,0,0,0,324.8,1.24,190,99425
20120707:0500,21.42,51.45,0,0,0,323.6,0.9,203,99415
20120707:0600,21.51,51.35,126,402.25,55,322.8,0.55,206,99454
20120707:0700,22.04,58.25,321,618.65,93,326.4,0.14,177,99474
20120707:0800,24.78,43.05,523,742.02,114,333.2,0.41,7,99474
20120707:0900,27.18,36.5,705,806.17,131,342.4,0.41,345,99484
20120707:1000,29.3,31.2,856,854.73,138,352.4,0.76,294,99513
20120707:1100,31.13,26.65,960,882.87,142,361.6,1.38,278,99474
20120707:1200,32.51,23.95,1002,879.24,153,369,1.93,274,99435
20120707:1300,33.49,22.55,994,892.5,142,374.6,2.41,269,99396
20120707:1400,34.11,21.8,917,857.66,150,379,2.9,267,99346
20120707:1500,34.4,21.45,779,775.9,167,380.8,3.17,266,99317
20120707:1600,34.29,21.6,618,734.66,144,380.8,3.38,265,99268
20120707:1700,33.71,22.8,424,633.73,124,378.6,3.45,264,99238
20120707:1800,32.55,25.95,224,466.59,91,375,3.45,260,99248
20120707:1900,30.51,32.65,48,172.03,32,371.2,3.1,247,99258
20120707:2000,28.09,39.8,0,0,0,364.6,3.1,234,99337
20120707:2100,26.3,45.4,0,0,0,358.2,3.03,220,99415
20120707:2200,25.11,48.9,0,0,0,354.6,2.83,209,99504
20120707:2300,24.32,51.35,0,0,0,352.2,2.48,203,99513
20120708:0000,23.63,53.4,0,0,0,347.4,2.07,202,99513
20120708:0100,22.94,55.8,0,0,0,344.25,1.66,200,99484
20120708:0200,21.9,60.15,0,0,0,340.8,1.24,194,99454
20120708:0300,21.62,61.15,0,0,0,338,1.03,183,99435
20120708:0400,22.3,58.3,0,0,0,334.4,0.69,178,99454
20120708:0500,21.9,59.55,0,0,0,331,0.21,182,99445
20120708:0600,21.61,60.55,121,366.04,57,328,0.07,348,99484
20120708:0700,22.67,58.45,314,583.03,100,330.2,0.41,352,99494
20120708:0800,25.04,47.2,513,700.14,128,335,0.83,4,99533
20120708:0900,27.13,40.6,689,746.93,158,342.4,0.62,334,99533
20120708:1000,29.14,34.3,851,838.96,147,350.2,1.1,279,99553
20120708:1100,30.92,27.45,949,851.14,161,357.2,1.86,264,99523
20120708:1200,32.29,22.95,996,862.12,164,361.8,2.55,259,99543
20120708:1300,33.21,20.3,983,859.37,163,364.8,3.17,255,99494
20120708:1400,33.66,18.65,911,841.22,159,366,3.66,253,99494
20120708:1500,33.61,18.05,787,805.41,152,365.2,4,252,99454
20120708:1600,33.01,18.5,618,733.54,145,362.2,4.28,251,99454
20120708:1700,31.84,19.9,422,621.66,128,357.8,4.28,249,99435
20120708:1800,30.16,22.8,221,446.46,94,351.4,4.14,246,99445
20120708:1900,27.79,28.5,52,227.64,31,343.8,3.31,243,99484
20120708:2000,25.52,33.3,0,0,0,334.8,2.97,230,99523
20120708:2100,23.76,38.2,0,0,0,326,2.69,214,99592
20120708:2200,22.47,42.5,0,0,0,319.2,2.55,200,99671
20120708:2300,21.5,46.1,0,0,0,314.4,2.48,194,99651
20120709:0000,20.73,49.25,0,0,0,311.4,2.48,193,99671
20120709:0100,20.12,51.85,0,0,0,310,2.34,191,99631
20120709:0200,19.57,54.05,0,0,0,310.2,2.14,188,99582
20120709:0300,19.03,56.7,0,0,0,310.2,2.07,191,99592
20120709:0400,18.51,59.95,0,0,0,311.4,2,191,99582
20120709:0500,17.96,63.8,0,0,0,311.2,1.86,189,99592
20120709:0600,17.86,67.75,118,340.77,59,311.8,1.59,192,99621
20120709:0700,20.69,53.95,304,528.02,111,317.8,0.83,188,99621
