time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160110:0900,13.68,84.9,212,540.93,76,348,4,210,99916
20160110:1000,14.43,82.65,366,741.96,83,335.4,4.83,217,99965
20160110:1100,15.05,79.35,392,419.1,195,335,6.28,226,99956
20160110:1200,15.72,73.3,463,555.48,179,335,6.48,230,99887
20160110:1300,16.27,69.65,235,27.87,221,346.2,7.31,232,99818
20160110:1400,16.24,70.65,186,15.78,179,351.2,6.97,233,99749
20160110:1500,16.25,70.95,180,73.66,155,340.6,6.62,232,99769
20160110:1600,15.8,74.3,91,55.93,80,350.8,5.24,226,99759
20160110:1700,15.26,76.7,0,0,0,345.6,5.52,225,99769
20160110:1800,14.63,79.7,0,0,0,335,5.1,222,99808
20160110:1900,14.17,82.8,0,0,0,350,5.59,226,99838
20160110:2000,14.02,84.4,0,0,0,352,5.31,225,99867
20160110:2100,13.81,87.3,0,0,0,350.4,5.45,224,99857
20160110:2200,13.81,88.15,0,0,0,349,5.45,222,99887
20160110:2300,14.02,87.65,0,0,0,349.6,5.45,219,99867
20160111:0000,14.1,87.1,0,0,0,341.2,5.59,220,99818
20160111:0100,14.24,86.9,0,0,0,348.65,5.79,224,99808
20160111:0200,14.3,86.45,0,0,0,351.4,5.86,227,99759
20160111:0300,14.27,87.05,0,0,0,345.8,5.93,228,99769
20160111:0400,14.27,87.4,0,0,0,353.6,6,228,99749
20160111:0500,14.15,88.7,0,0,0,338.2,5.93,221,99710
20160111:0600,14.07,89.3,0,0,0,325.8,5.86,220,99730
20160111:0700,14.69,87.35,0,0,0,348.6,6.34,226,99779
20160111:0800,15.07,85.4,58,357.2,26,373,6.41,224,99818
20160111:0900,15.29,85.65,136,95.07,112,375.6,6.34,224,99877
20160111:1000,15.03,91.2,115,0,115,380.6,5.79,235,99965
20160111:1100,14.85,93.75,129,0,129,379.4,4.62,252,100044
20160111:1200,14.41,93.5,112,0,112,381.4,3.03,261,100054
20160111:1300,14.25,88.65,145,0,145,372.6,2.69,252,100044
20160111:1400,14.52,81.55,142,0,142,369.6,3.03,245,100034
20160111:1500,14.45,79,171,55.5,152,370,2.83,248,100034
20160111:1600,14.45,75.5,96,65.11,83,357,2.69,249,100103
20160111:1700,13.92,77.6,0,0,0,348.8,2.14,238,100172
20160111:1800,13.34,80.4,0,0,0,350.4,2.07,224,100231
20160111:1900,12.25,85.25,0,0,0,351.2,1.66,199,100290
20160111:2000,11.84,87.25,0,0,0,334.4,1.72,193,100299
20160111:2100,11.48,88.95,0,0,0,324.8,1.59,199,100388
20160111:2200,10.88,91.45,0,0,0,308.6,1.66,193,100407
20160111:2300,10.07,93.45,0,0,0,297.4,1.72,187,100437
20160112:0000,9.7,93.75,0,0,0,292.8,1.24,204,100437
20160112:0100,10.45,91.35,0,0,0,288.2,0.9,218,100476
20160112:0200,10.64,91.95,0,0,0,288,0.62,232,100486
20160112:0300,10.23,93.8,0,0,0,283.8,0.34,289,100516
20160112:0400,9.49,96.95,0,0,0,275,0.55,350,100506
20160112:0500,8.69,98.9,0,0,0,282.6,0.83,33,100516
20160112:0600,6.7,99.95,0,0,0,289,1.24,59,100565
20160112:0700,6.28,99.85,0,0,0,305.6,1.45,71,100633
20160112:0800,6.57,99.35,59,354.09,27,305,1.45,75,100683
20160112:0900,7.99,97.75,225,646.69,61,297.4,1.52,68,100751
20160112:1000,9.74,88.7,382,832.54,62,281.6,1.59,58,100791
20160112:1100,11.53,77.15,491,907.61,61,282.4,1.79,40,100820
20160112:1200,12.91,64.95,551,985.04,43,284.4,2.14,35,100751
20160112:1300,13.74,57.45,534,944.14,55,288.4,2.28,32,100673
20160112:1400,14.17,53.8,463,908.24,55,283.6,2.34,28,100584
20160112:1500,14.21,52.85,334,796.38,59,284.4,2.41,27,100574
20160112:1600,13.94,53.65,171,611.74,47,285,2.41,26,100584
20160112:1700,13.08,57.9,0,0,0,284.6,2,28,100643
20160112:1800,11.69,63.25,0,0,0,280,2.07,44,100653
20160112:1900,10.98,66.25,0,0,0,278,2.55,59,100692
20160112:2000,10.26,68.9,0,0,0,276.2,2.62,68,100702
20160112:2100,9.68,70.95,0,0,0,273.8,2.55,69,100712
20160112:2200,9.17,72.85,0,0,0,272.4,2.55,67,100732
20160112:2300,8.72,74.45,0,0,0,271.6,2.48,65,100722
20160113:0000,8.26,75.9,0,0,0,270,2.48,61,100663
20160113:0100,7.8,77.65,0,0,0,268.8,2.41,57,100663
20160113:0200,7.29,79.4,0,0,0,268,2.34,57,100614
20160113:0300,6.89,80.65,0,0,0,267.8,2.34,60,100653
20160113:0400,6.63,81.1,0,0,0,270.2,2.34,65,100643
20160113:0500,6.43,81.5,0,0,0,272.2,2.28,72,100614
20160113:0600,6.25,82.4,0,0,0,273.4,2.28,74,100624
20160113:0700,6.17,87.1,0,0,0,280.2,2.21,77,100633
20160113:0800,6.27,88.2,57,317.75,28,280.8,2.14,77,100653
20160113:0900,8.31,85.2,215,545.42,76,288.6,1.72,75,100673
20160113:1000,11.75,72.8,359,663.21,103,290.4,1.52,73,100722
20160113:1100,14.19,65.9,483,844.92,81,300,1.24,74,100732
20160113:1200,15.94,61.25,548,951.58,55,301,0.9,61,100633
20160113:1300,17.18,57.9,526,878.4,78,300.8,0.69,39,100545
20160113:1400,17.91,55.65,412,592.75,144,301.4,0.55,19,100457
20160113:1500,18.16,54.65,318,648.73,92,304.2,0.48,349,100466
20160113:1600,17.89,55.85,162,481.02,63,303.2,0.62,326,100457
20160113:1700,16.77,62.25,0,0,0,301.8,0.97,311,100466
20160113:1800,14.97,69.1,0,0,0,292.8,0.55,321,100476
20160113:1900,13.88,72.2,0,0,0,288.4,0.48,113,100506
20160113:2000,11.89,79.55,0,0,0,284.2,1.03,145,100525
20160113:2100,8.99,89.4,0,0,0,281.4,1.79,150,100525
20160113:2200,8.14,90.6,0,0,0,278.8,1.79,153,100565
20160113:2300,7.73,90.4,0,0,0,275.6,1.66,149,100555
20160114:0000,7.03,91.25,0,0,0,273,1.72,137,100506
20160114:0100,6.63,91.2,0,0,0,271,1.66,130,100466
20160114:0200,6.84,89.25,0,0,0,269,1.38,121,100437
20160114:0300,6.42,89.35,0,0,0,268.2,1.38,114,100427
20160114:0400,5.24,91.85,0,0,0,267.8,1.86,118,100407
20160114:0500,4.74,92.9,0,0,0,267.8,1.79,119,100378
20160114:0600,4.75,92.35,0,0,0,267.6,1.52,112,100388
20160114:0700,4.57,92.55,0,0,0,273,1.79,108,100407
20160114:0800,4.65,92.45,59,335.99,28,275.8,1.72,110,100407
